Country,ISO3,Year,Openness,Manufacturing employment (% of total),Population,Continent,Sources
Argentina,ARG,2020,13.60892749,12.5,45376763.0,America,https://ourworldindata.org/grapher/manufacturing-share-of-total-employment
Armenia,ARM,2020,39.72382062,10.1,2805608.0,Asia,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS
Australia,AUS,2021,17.7948769,6.9,25688079.0,Oceania,https://data.worldbank.org/indicator/SP.POP.TOTL
Austria,AUT,2020,48.61081631,15.6,8916864.0,Europe,
Azerbaijan,AZE,2020,36.39431178,5.3,10093121.0,Asia,
Barbados,BRB,2019,37.97060619,6.0,280180.0,America,
Belarus,BLR,2020,57.92173443,17.8,9379952.0,Europe,
Belgium,BEL,2020,77.73398346,12.3,11538604.0,Europe,
Belize,BLZ,2019,49.67928823,8.0,389095.0,America,
Bolivia,BOL,2020,25.23067282,8.8,11936162.0,America,
Bosnia and Herzegovina,BIH,2020,48.59095292,18.9,3318407.0,Europe,
Botswana,BWA,2020,46.46695886,6.9,2546402.0,Africa,
Brazil,BRA,2020,16.09538367,11.7,213196304.0,America,
Bulgaria,BGR,2020,54.16092924,18.5,6934015.0,Europe,
Cambodia,KHM,2019,62.46522725,16.7,16207746.0,Asia,
Canada,CAN,2021,30.63796538,9.2,38246108.0,America,
Chile,CHL,2021,32.5414357,10.0,19493184.0,America,
Colombia,COL,2020,20.4133495,11.1,50930662.0,America,
Costa Rica,CRI,2021,34.47457284,10.5,5153957.0,America,
Croatia,HRV,2020,48.50338549,17.7,4047680.0,Europe,
Cyprus,CYP,2020,82.76696163,7.6,1237537.0,Asia,
Czechia,CZE,2020,63.19954823,26.7,10697858.0,Europe,
Denmark,DNK,2020,48.5826383,11.3,5831404.0,Europe,
Dominican Republic,DOM,2020,25.99795939,10.5,10999664.0,America,
Ecuador,ECU,2021,25.19764403,9.9,17797737.0,America,
El Salvador,SLV,2020,43.82197303,16.1,6292731.0,America,
Estonia,EST,2020,69.19247571,18.1,1329522.0,Europe,
Finland,FIN,2020,35.71035485,13.0,5529543.0,Europe,
France,FRA,2020,29.41359525,11.5,67571107.0,Europe,
Georgia,GEO,2020,56.58430343,8.1,3722716.0,Asia,
Germany,DEU,2020,37.38517603,19.9,83160871.0,Europe,
Greece,GRC,2020,39.68239577,9.6,10698599.0,Europe,
Guatemala,GTM,2019,27.90544497,11.7,16604026.0,America,
Honduras,HND,2020,50.52482903,16.2,10121763.0,America,
Hungary,HUN,2020,76.79978656,21.6,9750149.0,Europe,
Iceland,ISL,2020,35.00852714,9.6,366463.0,Europe,
India,IND,2020,19.09645489,11.3,1396387127.0,Asia,
Indonesia,IDN,2021,18.86195672,13.9,273753191.0,Asia,
Ireland,IRL,2020,114.428561,11.5,4985382.0,Europe,
Italy,ITA,2020,25.84304887,18.7,59438851.0,Europe,
Jamaica,JAM,2020,41.77462747,6.1,2820436.0,America,
Japan,JPN,2021,18.9523103,15.6,125681593.0,Asia,
Jordan,JOR,2020,41.70014965,9.0,10928721.0,Asia,
Kenya,KEN,2019,20.33147006,6.9,50951450.0,Africa,
Kiribati,KIR,2019,101.6202532,5.2,124241.0,Oceania,
Latvia,LVA,2020,58.93172074,12.8,1900449.0,Europe,
Lebanon,LBN,2019,42.00010788,10.9,5781907.0,Asia,
Lesotho,LSO,2019,90.88102301,27.9,2225702.0,Africa,
Lithuania,LTU,2020,63.94735242,15.8,2794885.0,Europe,
Luxembourg,LUX,2020,165.5967915,3.8,630419.0,Europe,
Malaysia,MYS,2020,55.22933709,16.7,33199993.0,Asia,
Maldives,MDV,2019,78.42444319,10.4,504508.0,Asia,
Malta,MLT,2020,139.3432717,11.1,515332.0,Europe,
Marshall Islands,MHL,2019,115.0793725,3.2,44728.0,Oceania,
Mauritius,MUS,2019,52.21711045,12.7,1265711.0,Africa,
Mexico,MEX,2020,37.42320923,16.5,125998302.0,America,
Moldova,MDA,2020,49.92545347,11.7,2635130.0,Europe,
Mongolia,MNG,2020,55.1782979,7.7,3294335.0,Asia,
Montenegro,MNE,2020,61.00933669,6.1,621306.0,Europe,
Myanmar,MMR,2019,30.2992385,10.5,53040212.0,Asia,
Netherlands,NLD,2020,68.19630146,9.0,17441500.0,Europe,
New Zealand,NZL,2020,22.30518794,9.2,5090200.0,Oceania,
Nigeria,NGA,2019,19.80295104,10.7,203304492.0,Africa,
North Macedonia,MKD,2020,70.46978218,20.0,2072531.0,Europe,
Norway,NOR,2020,33.08521965,7.7,5379475.0,Europe,
Oman,OMN,2020,44.81974942,10.7,4543399.0,Asia,
Pakistan,PAK,2019,19.51471242,15.1,223293280.0,Asia,
Panama,PAN,2021,41.63411267,7.4,4351267.0,America,
Paraguay,PRY,2020,29.48915127,10.4,6618695.0,America,
Peru,PER,2020,21.14920582,8.1,33304756.0,America,
Philippines,PHL,2020,32.96672099,8.1,112190977.0,Asia,
Poland,POL,2020,47.33328713,19.9,37899070.0,Europe,
Portugal,PRT,2020,39.19071423,17.0,10297081.0,Europe,
Qatar,QAT,2020,40.90021663,4.7,2760385.0,Asia,
Romania,ROU,2020,41.1825488,18.1,19265250.0,Europe,
Rwanda,RWA,2020,35.8269448,6.0,13146362.0,Africa,
San Marino,SMR,2020,140.4244732,30.8,34007.0,Europe,
Saudi Arabia,SAU,2020,25.8936839,10.2,35997107.0,Asia,
Senegal,SEN,2019,39.26181475,12.9,16000781.0,Africa,
Serbia,SRB,2020,56.4999784,18.7,6899126.0,Europe,
Seychelles,SYC,2020,70.59396891,5.9,98462.0,Africa,
Singapore,SGP,2020,150.011125,9.6,5685807.0,Asia,
Slovenia,SVN,2020,68.49474445,25.3,2102419.0,Europe,
Somalia,SOM,2019,83.62374711,11.4,15981300.0,Africa,
South Africa,ZAF,2020,23.20067874,10.1,58801927.0,Africa,
Spain,ESP,2020,29.34322252,12.7,47365655.0,Europe,
Sri Lanka,LKA,2019,27.60199296,18.4,21803000.0,Asia,
Sweden,SWE,2020,39.36370034,9.9,10353442.0,Europe,
Switzerland,CHE,2020,57.85862401,12.3,8638167.0,Europe,
Thailand,THA,2020,46.25197554,15.9,71475664.0,Asia,
United Arab Emirates,ARE,2020,70.64530074,8.0,9287289.0,Asia,
United Kingdom,GBR,2019,32.87254707,9.1,66836327.0,Europe,
United States,USA,2021,14.58867359,9.9,331893745.0,America,
Uruguay,URY,2020,20.73910302,10.3,3429086.0,America,
Uzbekistan,UZB,2019,44.435895,11.9,33580350.0,Asia,
Vanuatu,VUT,2019,49.03769195,4.5,304404.0,Oceania,
Vietnam,VNM,2021,93.17653158,23.1,97468029.0,Asia,
Zambia,ZMB,2020,32.53532245,8.4,18927715.0,Africa,
Zimbabwe,ZWE,2019,25.524111,7.6,15354608.0,Africa,
