Period,Date,Wave 1,Wave 2,Wave 3,Wave 4,Wave 5,Total,note
AJ14,2014-04-01,59.3,47.5,46.1,42.9,42.9,47.9,Labour Force Survey review
JS14,2014-07-01,59.1,48,43.4,42,42.1,47.1,Figure 3: Wave-specific response rates
OD14,2014-10-01,58.9,48.8,45.7,41.2,42.7,47.6,"Great Britain, excluding imputed households, April to June 2014, to April to June 2024"
JM15,2015-01-01,58.4,50,47,43.7,42.6,48.5,
AJ15,2015-04-01,55.9,47.2,45.5,42.3,42,46.7,
JS15,2015-07-01,55.5,45.8,42.9,41.3,41.3,45.5,
OD15,2015-10-01,54.8,46.5,43.1,40,40.9,45.2,
JM16,2016-01-01,54.2,45.8,43,39.7,39.7,44.6,
AJ16,2016-04-01,54,41.8,40.1,37.4,36.9,42.2,
JS16,2016-07-01,54.8,41,38.1,35.8,36.8,41.5,
OD16,2016-10-01,54.9,42.4,39.3,35.9,36.8,42,
JM17,2017-01-01,54,44.6,41.6,38,37.2,43.2,
AJ17,2017-04-01,53.6,41.8,39.8,37.7,36.4,42,
JS17,2017-07-01,56.7,43.1,39.1,37.2,36.5,42.7,
OD17,2017-10-01,56.4,46.6,39.9,36.5,36.7,43.4,
JM18 ,2018-01-01,57.1,44.7,41.6,35.2,35,42.9,
AJ18,2018-04-01,56.1,43.3,39.6,36.9,34,42.2,
JS18,2018-07-01,53.9,40,36.6,34.1,34.4,40,
OD18,2018-10-01,53.3,40.5,36.9,35,34.6,40.3,
JM19,2019-01-01,54.6,40.3,36.2,34,33.8,40,
AJ19,2019-04-01,56.1,38.6,35.7,32.5,31.8,39.1,
JS19,2019-07-01,55,38.9,34.2,32.4,31.5,38.6,
OD19,2019-10-01,53.8,40.6,34.6,31.6,30.9,38.5,
JM20,2020-01-01,45.2,37.9,35.6,31.1,30.4,36.2,
AJ20,2020-04-01,31.2,31.6,33,31.4,29.1,31.3,
JS20,2020-07-01,26.9,26.1,28.2,28.6,28.3,27.5,
OD20,2020-10-01,28.6,23,25,26.9,27.6,26.1,
JM21,2021-01-01,29.8,23.4,18.3,21.3,23.4,23.6,
AJ21,2021-04-01,39.6,22.5,19.1,16.4,20.5,23.3,
JS21,2021-07-01,37.1,26.3,19.4,17.4,15.7,22.5,
OD21,2021-10-01,32,23.3,21.5,16,15.5,21.1,
JM22,2022-01-01,35.8,22.4,21.3,19.6,15.8,22.6,
AJ22,2022-04-01,31.9,22.9,17,16.3,16.4,21,
JS22,2022-07-01,31.5,20.8,19.1,15.1,16,20.6,
OD22,2022-10-01,29.7,17.5,15.8,15.5,13.4,18.5,
JM23,2023-01-01,28.7,14.7,13.8,13.2,13.7,16.9,
AJ23,2023-04-01,27.9,12.5,10.5,10.9,11,14.6,
JS23,2023-07-01,30.5,11.7,9.3,8.6,9.7,12.7,
OD23,2023-10-01,34,19.8,11.3,9.1,8.7,14.8,
JM24,2024-01-01,32.7,19.1,14.9,9.1,8,16.7,
AJ24,2024-04-01,35.3,17.7,15.6,12.4,8.2,18.5,