date,type,transactions
2019-01-31,Residential,68410
2019-01-31,Non-residential,8070
2019-02-28,Residential,72210
2019-02-28,Non-residential,7840
2019-03-31,Residential,82730
2019-03-31,Non-residential,10150
2019-04-30,Residential,75810
2019-04-30,Non-residential,9120
2019-05-31,Residential,82670
2019-05-31,Non-residential,8810
2019-06-30,Residential,86150
2019-06-30,Non-residential,8810
2019-07-31,Residential,90730
2019-07-31,Non-residential,9280
2019-08-31,Residential,96050
2019-08-31,Non-residential,8440
2019-09-30,Residential,85980
2019-09-30,Non-residential,8590
2019-10-31,Residential,92560
2019-10-31,Non-residential,9300
2019-11-30,Residential,94780
2019-11-30,Non-residential,8870
2019-12-31,Residential,89170
2019-12-31,Non-residential,9750
2020-01-31,Residential,72940
2020-01-31,Non-residential,7910
2020-02-29,Residential,72970
2020-02-29,Non-residential,7410
2020-03-31,Residential,76480
2020-03-31,Non-residential,7810
2020-04-30,Residential,32850
2020-04-30,Non-residential,4780
2020-05-31,Residential,40830
2020-05-31,Non-residential,4690
2020-06-30,Residential,60760
2020-06-30,Non-residential,6410
2020-07-31,Residential,72320
2020-07-31,Non-residential,7480
2020-08-31,Residential,74950
2020-08-31,Non-residential,6390
2020-09-30,Residential,84710
2020-09-30,Non-residential,7930
2020-10-31,Residential,103470
2020-10-31,Non-residential,8510
2020-11-30,Residential,103370
2020-11-30,Non-residential,8270
2020-12-31,Residential,115550
2020-12-31,Non-residential,9650
2021-01-31,Residential,86080
2021-01-31,Non-residential,6650
2021-02-28,Residential,109200
2021-02-28,Non-residential,7880
2021-03-31,Residential,155360
2021-03-31,Non-residential,11570
2021-04-30,Residential,101510
2021-04-30,Non-residential,9520
2021-05-31,Residential,89590
2021-05-31,Non-residential,8220
2021-06-30,Residential,195200
2021-06-30,Non-residential,10440
2021-07-31,Residential,67970
2021-07-31,Non-residential,8800
2021-08-31,Residential,89330
2021-08-31,Non-residential,8260
2021-09-30,Residential,150580
2021-09-30,Non-residential,9490
2021-10-31,Residential,70100
2021-10-31,Non-residential,9240
2021-11-30,Residential,86760
2021-11-30,Non-residential,9410
2021-12-31,Residential,95940
2021-12-31,Non-residential,10070
2022-01-31,Residential,72440
2022-01-31,Non-residential,7630
2022-02-28,Residential,83040
2022-02-28,Non-residential,8230
2022-03-31,Residential,96520
2022-03-31,Non-residential,10740
2022-04-30,Residential,86270
2022-04-30,Non-residential,9210
2022-05-31,Residential,86580
2022-05-31,Non-residential,8810
2022-06-30,Residential,90650
2022-06-30,Non-residential,8930
2022-07-31,Residential,95170
2022-07-31,Non-residential,8780
2022-08-31,Residential,98000
2022-08-31,Non-residential,8370
2022-09-30,Residential,97660
2022-09-30,Non-residential,8800