Date,Bank,Mortgage,Credit Card
28-Feb-22,0.5,3.83,21.44
31-Jan-22,0.25,3.67,21.43
31-Dec-21,0.25,3.61,21.42
30-Nov-21,0.1,3.59,21.42
31-Oct-21,0.1,3.6,21.48
30-Sep-21,0.1,3.61,21.45
31-Aug-21,0.1,3.61,21.45
31-Jul-21,0.1,3.61,21.49
30-Jun-21,0.1,3.61,21.49
31-May-21,0.1,3.61,21.49
30-Apr-21,0.1,3.61,21.3
31-Mar-21,0.1,3.62,21.15
28-Feb-21,0.1,3.62,21.02
31-Jan-21,0.1,3.62,20.99
31-Dec-20,0.1,3.62,20.9
30-Nov-20,0.1,3.62,20.92
31-Oct-20,0.1,3.64,20.91
30-Sep-20,0.1,3.65,20.72
31-Aug-20,0.1,3.65,20.56
31-Jul-20,0.1,3.66,20.56
30-Jun-20,0.1,3.65,20.54
31-May-20,0.1,3.65,20.58
30-Apr-20,0.1,3.66,20.63
31-Mar-20,0.1,4.1,20.78
29-Feb-20,0.75,4.26,20.77
31-Jan-20,0.75,4.27,20.77
31-Dec-19,0.75,4.27,20.77
30-Nov-19,0.75,4.27,20.33
31-Oct-19,0.75,4.27,19.62
30-Sep-19,0.75,4.29,20.01
31-Aug-19,0.75,4.29,20.01
31-Jul-19,0.75,4.29,20.01
30-Jun-19,0.75,4.29,19.99
31-May-19,0.75,4.29,20
30-Apr-19,0.75,4.31,19.92
31-Mar-19,0.75,4.31,19.83
28-Feb-19,0.75,4.31,19.73
31-Jan-19,0.75,4.48,18.67
31-Dec-18,0.75,4.4,18.66
30-Nov-18,0.75,4.41,18.69
31-Oct-18,0.75,4.45,18.38
30-Sep-18,0.75,4.39,18.46
31-Aug-18,0.75,4.35,18.47
31-Jul-18,0.5,4.1,18.35
30-Jun-18,0.5,4.06,18.26
31-May-18,0.5,4.16,18.24
30-Apr-18,0.5,4.17,18.26
31-Mar-18,0.5,4.14,17.92
28-Feb-18,0.5,4.23,17.92
31-Jan-18,0.5,4.21,17.92
31-Dec-17,0.5,4.54,17.95
30-Nov-17,0.5,4.34,17.96
31-Oct-17,0.25,4.31,17.95
30-Sep-17,0.25,4.31,17.97
31-Aug-17,0.25,4.32,17.96
31-Jul-17,0.25,4.51,17.96
30-Jun-17,0.25,4.28,17.96
31-May-17,0.25,4.23,17.89
30-Apr-17,0.25,4.54,17.97
31-Mar-17,0.25,4.28,17.96
28-Feb-17,0.25,4.37,17.96
31-Jan-17,0.25,4.49,17.96
31-Dec-16,0.25,4.23,17.96
30-Nov-16,0.25,4.28,17.96
31-Oct-16,0.25,4.24,17.95
30-Sep-16,0.25,4.24,17.94
31-Aug-16,0.25,4.3,17.93
31-Jul-16,0.5,4.55,17.96
30-Jun-16,0.5,4.52,17.94
31-May-16,0.5,4.56,17.93
30-Apr-16,0.5,4.64,17.96
31-Mar-16,0.5,4.57,17.94
29-Feb-16,0.5,4.58,17.94
31-Jan-16,0.5,4.56,17.96
31-Dec-15,0.5,4.49,17.93
30-Nov-15,0.5,4.49,17.94
31-Oct-15,0.5,4.54,17.95
30-Sep-15,0.5,4.5,17.93
31-Aug-15,0.5,4.48,17.91
31-Jul-15,0.5,4.5,17.9
30-Jun-15,0.5,4.49,17.84
31-May-15,0.5,4.55,17.87
30-Apr-15,0.5,4.53,17.85
31-Mar-15,0.5,4.51,17.84
28-Feb-15,0.5,4.51,17.85
31-Jan-15,0.5,4.56,17.85
31-Dec-14,0.5,4.48,17.75
30-Nov-14,0.5,4.49,17.81
31-Oct-14,0.5,4.53,17.54
30-Sep-14,0.5,4.52,17.47
31-Aug-14,0.5,4.45,17.39
31-Jul-14,0.5,4.45,17.37
30-Jun-14,0.5,4.36,17.36
31-May-14,0.5,4.42,17.37
30-Apr-14,0.5,4.43,17.32
31-Mar-14,0.5,4.43,17.31
28-Feb-14,0.5,4.43,18.31
31-Jan-14,0.5,4.41,18.17
31-Dec-13,0.5,4.39,18.14
30-Nov-13,0.5,4.41,18.13
31-Oct-13,0.5,4.37,17.88
30-Sep-13,0.5,4.35,17.88
31-Aug-13,0.5,4.36,17.87
31-Jul-13,0.5,4.37,17.89
30-Jun-13,0.5,4.38,17.84
31-May-13,0.5,4.38,17.85
30-Apr-13,0.5,4.35,17.71
31-Mar-13,0.5,4.34,17.69
28-Feb-13,0.5,4.38,17.69
31-Jan-13,0.5,4.38,17.61
31-Dec-12,0.5,4.35,17.33
30-Nov-12,0.5,4.32,17.32
31-Oct-12,0.5,4.32,17.33
30-Sep-12,0.5,4.29,17.25
31-Aug-12,0.5,4.27,17.26
31-Jul-12,0.5,4.24,17.26
30-Jun-12,0.5,4.22,17.25
31-May-12,0.5,4.16,17.26
30-Apr-12,0.5,4.1,17.25
31-Mar-12,0.5,4.1,17.31
29-Feb-12,0.5,4.14,17.31
31-Jan-12,0.5,4.18,17.32
31-Dec-11,0.5,4.12,17.29
30-Nov-11,0.5,4.13,16.93
31-Oct-11,0.5,4.14,16.73
30-Sep-11,0.5,4.12,16.72
31-Aug-11,0.5,4.11,16.73
31-Jul-11,0.5,4.1,16.72
30-Jun-11,0.5,4.05,16.73
31-May-11,0.5,4,16.73
30-Apr-11,0.5,4,16.72
31-Mar-11,0.5,4.07,16.66
28-Feb-11,0.5,4.07,16.69
31-Jan-11,0.5,4.04,16.8
31-Dec-10,0.5,3.91,16.66
30-Nov-10,0.5,3.91,16.68
31-Oct-10,0.5,3.91,16.68
30-Sep-10,0.5,3.93,16.69
31-Aug-10,0.5,3.94,16.71
31-Jul-10,0.5,3.92,16.7
30-Jun-10,0.5,3.92,16.7
31-May-10,0.5,3.94,16.52
30-Apr-10,0.5,3.99,16.51
31-Mar-10,0.5,4.04,16.53
28-Feb-10,0.5,4.05,16.52
31-Jan-10,0.5,4.08,16.37
31-Dec-09,0.5,3.97,16.25
30-Nov-09,0.5,3.98,15.89
31-Oct-09,0.5,3.91,15.89
30-Sep-09,0.5,3.91,15.86
31-Aug-09,0.5,3.93,15.89
31-Jul-09,0.5,4.11,15.86
30-Jun-09,0.5,3.95,15.87
31-May-09,0.5,3.83,15.87
30-Apr-09,0.5,3.82,15.72
31-Mar-09,0.5,4.06,15.73
28-Feb-09,1,4.38,15.72
31-Jan-09,1.5,4.73,16.09
31-Dec-08,2,5.38,16.05
30-Nov-08,3,6.34,16.05
31-Oct-08,4.5,6.91,16.06
30-Sep-08,5,6.95,16.12
31-Aug-08,5,6.93,16.13
31-Jul-08,5,6.92,16.12
30-Jun-08,5,6.92,16.12
31-May-08,5,6.95,15.92
30-Apr-08,5,7.23,15.69
31-Mar-08,5.25,7.24,15.14
29-Feb-08,5.25,7.5,15.12
31-Jan-08,5.5,7.51,15.2
31-Dec-07,5.5,7.68,15.11
30-Nov-07,5.75,7.72,15.25
31-Oct-07,5.75,7.74,15.26
30-Sep-07,5.75,7.74,14.99
31-Aug-07,5.75,7.69,15.22
31-Jul-07,5.75,7.44,15.22
30-Jun-07,5.5,7.46,15.38
31-May-07,5.5,7.23,15.36
30-Apr-07,5.25,7.22,15.87
31-Mar-07,5.25,7.19,16.05
28-Feb-07,5.25,7.2,15.76
31-Jan-07,5.25,7.01,15.67
31-Dec-06,5,6.98,15.68
30-Nov-06,5,6.7,15.7
31-Oct-06,4.75,6.68,16.26
30-Sep-06,4.75,6.65,16.29
31-Aug-06,4.75,6.4,16.22
31-Jul-06,4.5,6.4,16.03
30-Jun-06,4.5,6.4,16.62
31-May-06,4.5,6.4,16.67
30-Apr-06,4.5,6.41,16.56
31-Mar-06,4.5,6.41,16.56
28-Feb-06,4.5,6.37,16.61
31-Jan-06,4.5,6.36,16.5
31-Dec-05,4.5,6.35,16.47
30-Nov-05,4.5,6.35,16.47
31-Oct-05,4.5,6.35,15.74
30-Sep-05,4.5,6.4,15.76
31-Aug-05,4.5,6.58,15.73
31-Jul-05,4.75,6.61,15.73
30-Jun-05,4.75,6.62,15.72
31-May-05,4.75,6.62,15.96
30-Apr-05,4.75,6.62,16.2
31-Mar-05,4.75,6.61,16.23
28-Feb-05,4.75,6.61,15.88
31-Jan-05,4.75,6.61,15.86
31-Dec-04,4.75,6.6,16.05
30-Nov-04,4.75,6.6,15.94
31-Oct-04,4.75,6.61,15.84
30-Sep-04,4.75,6.59,15.65
31-Aug-04,4.75,6.32,15.44
31-Jul-04,4.5,6.32,15.44
30-Jun-04,4.5,6.08,15.18
31-May-04,4.25,5.82,14.99
30-Apr-04,4,5.81,14.93
31-Mar-04,4,5.81,14.8
29-Feb-04,4,5.59,14.96
31-Jan-04,3.75,5.59,15.13
31-Dec-03,3.75,5.59,15.24
30-Nov-03,3.75,5.32,15.18
31-Oct-03,3.5,5.3,15.18
30-Sep-03,3.5,5.31,14.97
31-Aug-03,3.5,5.32,15
31-Jul-03,3.5,5.5,15.19
30-Jun-03,3.75,5.5,15.15
31-May-03,3.75,5.5,15.23
30-Apr-03,3.75,5.51,15.27
31-Mar-03,3.75,5.49,15.13
28-Feb-03,3.75,5.63,15.61
31-Jan-03,4,5.64,15.59
31-Dec-02,4,5.64,15.69
30-Nov-02,4,5.65,15.69
31-Oct-02,4,5.66,15.77
30-Sep-02,4,5.65,15.65
31-Aug-02,4,5.66,16.33
31-Jul-02,4,5.66,16.44
30-Jun-02,4,5.66,16.4
31-May-02,4,5.66,16.38
30-Apr-02,4,5.65,16.42
31-Mar-02,4,5.65,16.39
28-Feb-02,4,5.66,16.94
31-Jan-02,4,5.66,17.1
31-Dec-01,4,5.67,17.66
30-Nov-01,4,6.06,17.94
31-Oct-01,4.5,6.32,18
30-Sep-01,4.75,6.54,18.01
31-Aug-01,5,6.8,17.98
31-Jul-01,5.25,6.81,18.22
30-Jun-01,5.25,6.81,18.23
31-May-01,5.25,7.03,18.55
30-Apr-01,5.5,7.3,18.61
31-Mar-01,5.75,7.27,18.53
28-Feb-01,5.75,7.56,18.57
31-Jan-01,6,7.56,18.65
31-Dec-00,6,7.55,18.9
30-Nov-00,6,7.59,18.76
31-Oct-00,6,7.59,18.82
30-Sep-00,6,7.59,18.79
31-Aug-00,6,7.63,18.95
31-Jul-00,6,7.64,19.12
30-Jun-00,6,7.64,19.03
31-May-00,6,7.64,19.04
30-Apr-00,6,7.63,18.99
31-Mar-00,6,7.62,18.94
29-Feb-00,6,7.38,18.79
31-Jan-00,5.75,7.13,19.11
31-Dec-99,5.5,7.1,19.48
30-Nov-99,5.5,6.87,19.2
31-Oct-99,5.25,6.82,19.42
30-Sep-99,5.25,6.72,19.74
31-Aug-99,5,6.72,19.69
31-Jul-99,5,6.72,19.86
30-Jun-99,5,6.73,19.95
31-May-99,5.25,6.75,20.01
30-Apr-99,5.25,6.83,20.83
31-Mar-99,5.5,6.85,20.69
28-Feb-99,5.5,7.35,20.89
31-Jan-99,6,7.6,21.41
31-Dec-98,6.25,8,22.19
30-Nov-98,6.75,8.58,22.27
31-Oct-98,7.25,8.85,22.21
30-Sep-98,7.5,8.87,22.29
31-Aug-98,7.5,8.83,22.27
31-Jul-98,7.5,8.8,22.26
30-Jun-98,7.5,8.59,22.15
31-May-98,7.25,8.59,22.38
30-Apr-98,7.25,8.59,22.41
31-Mar-98,7.25,8.59,22.38
28-Feb-98,7.25,8.59,22.38
31-Jan-98,7.25,8.56,22.49
31-Dec-97,7.25,8.5,22.77
30-Nov-97,7.25,8.37,22.61
31-Oct-97,7,8.36,22.57
30-Sep-97,7,8.33,22.44
31-Aug-97,7,8.15,22.48
31-Jul-97,6.75,7.86,22.26
30-Jun-97,6.5,7.64,21.96
31-May-97,6.25,7.27,21.99
30-Apr-97,5.9375,7.22,22.08
31-Mar-97,5.9375,7.21,22.06
28-Feb-97,5.9375,7.22,22.08
31-Jan-97,5.9375,7.18,22.14
31-Dec-96,5.9375,7.01,22.41
30-Nov-96,5.9375,6.92,22.32
31-Oct-96,5.9375,6.92,22.16
30-Sep-96,5.6875,6.93,22.08
31-Aug-96,5.6875,6.99,22.03
31-Jul-96,5.6875,7.15,22.34
30-Jun-96,5.6875,7.15,22.36
31-May-96,5.9375,7.17,22.38
30-Apr-96,5.9375,7.3,22.53
31-Mar-96,5.9375,7.46,22.58
29-Feb-96,6.125,7.5,22.55
31-Jan-96,6.125,7.72,22.61
31-Dec-95,6.375,7.95,23.01
30-Nov-95,6.625,7.96,22.85
31-Oct-95,6.625,8,22.84
30-Sep-95,6.625,8.36,22.77
31-Aug-95,6.625,8.36,22.64
31-Jul-95,6.625,8.36,22.81
30-Jun-95,6.625,8.35,22.78
31-May-95,6.625,8.36,22.78
30-Apr-95,6.625,8.36,22.85
31-Mar-95,6.625,8.36,22.39
28-Feb-95,6.625,8.33,22
31-Jan-95,6.125,8.21,22.2